,AAAU,SPY,ISF.L,ESS,EEM,FXE,BofA
2019-09-27,14.94,274.288574,731.503235,276.549988,36.28537,100.803711,1375.82
2019-09-30,14.72,275.56076,729.706543,276.804199,36.490726,100.425522,1375.53
2019-10-01,14.77,272.28299,724.415833,275.93985,36.231808,100.764915,1374.59
2019-10-02,14.95,267.473145,700.857544,276.194122,35.955025,100.978264,1368.68
2019-10-03,15.03,269.66452,697.463623,278.066895,36.419292,101.084946,1367.35
2019-10-04,15.03,273.313721,705.748962,279.982025,36.580009,101.162506,1369.51
2019-10-07,14.89,272.13443,709.542236,279.278656,36.276443,101.075264,1370.21
2019-10-08,15.02,267.909576,704.151733,277.702423,36.017521,100.900681,1367.8
2019-10-09,15.05,270.453827,706.547546,278.998993,36.294304,101.084946,1369.4
2019-10-10,14.91,272.28299,709.042969,280.47345,36.6693,101.385559,1370.27
2019-10-11,14.82,275.105713,715.132263,277.066803,37.258579,101.705559,1373.4
2019-10-14,14.9,274.799316,712.03772,277.541412,37.097866,101.550415,1374.11
2019-10-15,14.78,277.519928,711.638489,278.236359,37.428219,101.608604,1376.2
2019-10-16,14.86,277.074188,706.747314,279.058258,37.53537,102.00618,1377.45
2019-10-17,14.88,277.891296,708.743774,278.507538,37.678219,102.452278,1378.54
2019-10-18,14.87,276.674988,705.848816,280.744629,37.481792,102.781975,1378.77
2019-10-21,14.8,278.55069,706.846924,281.79541,37.821079,102.655899,1379.58
2019-10-22,14.85,277.640656,712.537109,280.481964,37.847858,102.510437,1379.79
2019-10-23,14.89,278.448517,716.330139,278.236359,37.856792,102.500748,1380.44
2019-10-24,15.0,278.903442,724.116394,276.490723,37.856792,102.209831,1381.34
2019-10-25,15.02,280.045532,722.718872,275.482239,38.124638,102.015884,1382.65
2019-10-28,14.89,281.624084,723.717041,274.041656,38.347862,102.22921,1383.31
2019-10-29,14.85,281.540497,721.221497,273.897614,38.151417,102.306801,1383.15
2019-10-30,14.93,282.404053,724.316101,277.651581,38.321068,102.617111,1381.33
2019-10-31,15.08,281.651917,716.130493,277.210968,38.017498,102.665596,1378.72
2019-11-01,15.09,284.261139,721.221497,275.160248,38.588924,102.820755,1380.55
2019-11-04,15.05,285.403198,727.710083,272.948578,38.972851,102.442558,1383.88
2019-11-05,14.82,285.087524,729.506714,269.753815,39.196064,101.870415,1383.09
2019-11-06,14.87,285.152496,730.205627,269.431854,39.07106,101.860756,1381.83
2019-11-07,14.65,286.155304,731.702881,266.787872,39.356777,101.686165,1381.8
2019-11-08,14.56,286.860931,727.510437,266.864166,38.99963,101.443741,1380.93
2019-11-11,14.52,286.313141,723.018311,265.584625,38.722847,101.550415,1381.65
2019-11-12,14.56,286.916718,726.711731,261.873016,38.472855,101.346771,1381.46
2019-11-13,14.61,287.009521,725.813416,265.381287,38.178215,101.317688,1380.18
2019-11-14,14.66,287.427338,721.520874,266.296417,38.204998,101.434036,1379.69
2019-11-15,14.64,289.507385,722.02002,270.321503,38.508564,101.734657,1379.98
2019-11-18,14.69,289.720795,722.918396,271.931702,38.446068,101.918922,1379.87
2019-11-19,14.68,289.637238,724.615417,273.279053,38.526428,101.909195,1377.75
2019-11-20,14.7,288.56012,719.025269,270.075897,38.356785,101.899529,1376.25
2019-11-21,14.61,288.095917,716.330139,267.143829,38.276428,101.74437,1375.71
2019-11-22,14.59,288.736603,725.513794,263.338989,38.276428,101.414642,1376.36
2019-11-25,14.52,290.974335,732.202087,262.898315,38.660355,101.307983,1378.8
2019-11-26,14.58,291.633606,733.100464,264.601563,38.544277,101.424355,1380.77
2019-11-27,14.51,292.933594,735.496155,265.203308,38.588924,101.201309,1382.16
2019-11-29,14.61,291.847168,728.009338,264.542328,37.981785,101.346771,1382.25
2019-12-02,14.59,289.367981,722.02002,258.220703,37.972855,101.957703,1381.41
2019-12-03,14.74,287.427338,709.442383,259.474823,37.776432,101.899529,1380.33
2019-12-04,14.72,289.200867,712.137451,263.906738,38.062141,101.880119,1383.85
2019-12-05,14.73,289.720795,706.647461,263.686462,38.231781,102.112877,1384.9
2019-12-06,14.57,292.367188,717.428162,264.330444,38.454994,101.72496,1388.17
2019-12-09,14.58,291.447937,716.629639,263.720245,38.303215,101.734657,1389.36
2019-12-10,14.61,291.122955,714.733032,262.330597,38.437134,102.015884,1391.08
2019-12-11,14.71,291.949371,714.63324,258.254517,38.99963,102.413475,1392.78
2019-12-12,14.66,294.465637,714.693909,254.475113,39.678196,102.355301,1396.45
2019-12-13,14.74,294.642059,721.981506,254.653137,39.660343,102.22921,1399.53
2019-12-16,14.72,296.66629,738.95282,255.059814,39.996841,102.452278,1402.38
2019-12-17,14.72,296.731262,738.852966,250.99234,40.36161,102.491043,1405.24
2019-12-18,14.73,296.749817,741.149353,251.187241,40.580467,102.219528,1408.24
2019-12-19,14.76,297.966187,744.742981,253.10231,40.598709,102.287407,1408.71
2019-12-20,14.74,299.272583,745.142395,251.975281,40.680782,101.831627,1409.11
2019-12-23,14.82,299.729767,749.036011,251.526199,40.735489,101.957703,1409.71
