,BAMLHYH0A0HYM2TRIV,^BSESN,China_EQ,ISF.L,ESS,^GSPC,GOLD.AX
2009-11-18,663.1,16998.779297,3303.233887,535.02887,50.493622,1109.800049,119.949997
2009-11-19,662.96,16785.650391,3320.612061,527.959961,49.309483,1094.900024,121.0
2009-11-20,662.93,17021.849609,3308.345947,526.16803,48.648865,1091.380005,121.699997
2009-11-23,663.89,17180.179688,3338.663086,536.322815,49.5089,1106.23999,124.190002
2009-11-24,664.51,17131.080078,3223.525879,533.436035,48.36842,1105.650024,123.949997
2009-11-25,664.95,17198.949219,3290.165039,534.232056,48.767292,1110.630005,124.449997
2009-11-27,665.13,16632.009766,3096.264893,521.78717,47.371265,1091.48999,129.449997
2009-11-30,664.16,16926.220703,3195.301025,516.212036,49.702133,1095.630005,126.5
2009-12-01,664.64,17198.269531,3235.363037,528.855957,50.705517,1108.859985,126.349998
2009-12-02,665.65,17169.910156,3269.750977,530.448975,51.634109,1109.23999,127.800003
2009-12-03,666.91,17185.679688,3264.62793,529.254456,50.59333,1099.920044,128.529999
2009-12-04,668.24,17101.539063,3317.043945,530.150513,51.540627,1105.97998,127.57
2009-12-07,669.73,16983.140625,3331.896973,528.657104,50.618244,1103.25,123.699997
2009-12-08,670.62,17227.679688,3296.664063,520.493103,50.661892,1091.939941,124.730003
2009-12-09,671.59,17125.220703,3239.568115,517.904785,50.7616,1095.949951,122.260002
2009-12-10,672.44,17189.310547,3254.263916,521.986389,51.091908,1102.349976,120.660004
2009-12-11,673.41,17119.029297,3247.318115,523.181519,51.914589,1106.410034,121.349998
2009-12-14,675.48,17097.550781,3302.904053,528.358276,52.494171,1114.109985,120.860001
2009-12-15,677.06,16877.160156,3274.459961,526.366943,52.893021,1107.930054,120.68
2009-12-16,678.64,16912.769531,3255.212891,529.652649,52.830715,1109.180054,122.300003
2009-12-17,679.74,16894.25,3179.077881,519.497681,52.288525,1096.079956,124.410004
2009-12-18,680.09,16719.830078,3113.885986,517.50647,52.849411,1102.469971,121.400002
2009-12-21,680.43,16601.199219,3122.9729,526.665833,53.366661,1114.050049,122.830002
2009-12-22,681.32,16692.0,3050.52002,530.249939,53.921333,1118.02002,121.650002
2009-12-23,682.11,17231.109375,3073.7771,534.531006,53.871494,1120.589966,121.150002
2009-12-24,682.15,17360.609375,3153.409912,537.517639,54.4324,1126.47998,121.519997
2009-12-29,683.73,17401.560547,3211.76001,540.703613,53.19841,1126.199951,122.620003
2009-12-30,684.34,17343.820313,3262.600098,536.920471,53.557999,1126.420044,119.910004
2009-12-31,684.98,17464.810547,3277.138916,537.915894,52.769447,1115.099976,119.599998
2010-01-04,687.56,17558.730469,3243.76001,547.573181,52.119701,1132.98999,120.0
2010-01-05,690.89,17686.240234,3282.178955,549.365356,52.435097,1136.52002,120.169998
2010-01-06,694.03,17701.130859,3254.215088,550.26123,52.800976,1137.140015,120.160004
2010-01-07,697.44,17615.720703,3192.775879,549.862976,53.349812,1141.689941,120.0
2010-01-08,698.79,17540.289063,3195.99707,550.559875,52.800976,1144.97998,120.099998
2010-01-11,699.96,17526.710938,3212.75,551.256592,52.838837,1146.97998,121.120003
2010-01-12,700.35,17422.509766,3273.966064,547.174927,52.138611,1136.219971,121.419998
2010-01-13,700.24,17509.800781,3172.657959,544.785461,53.173153,1145.680054,119.709999
2010-01-14,700.69,17584.869141,3215.550049,547.672668,53.532749,1148.459961,120.0
2010-01-15,700.61,17554.300781,3224.1521,542.196899,53.173153,1136.030029,120.040001
2010-01-19,700.17,17486.060547,3246.874023,548.070862,53.898647,1150.22998,120.199997
2010-01-20,699.93,17474.490234,3151.850098,539.707947,54.056339,1138.040039,120.709999
2010-01-21,699.33,17051.140625,3158.863037,530.84729,52.649574,1116.47998,119.209999
2010-01-22,696.73,16859.679688,3128.587891,528.159241,51.022022,1091.76001,118.029999
